id,uuid,observed_on,obs_year,obs_month,quality_grade,license,latitude,longitude,positional_accuracy,coordinates_obscured,place_country_name,place_state_name,place_admin1_name,species_guess,scientific_name,common_name,taxon_genus_name,taxon_species_name,host_plant,Data_Category,num_identification_agreements,num_identification_disagreements,url,image_url,taxon_resolution,has_host_plant,is_research_grade,has_coords,coord_reliable
229489,6bb20884-a1a8-4a32-a5c8-2cbed47d5ad6,2013-04-05,2013,4,needs_id,CC-BY-NC,24.4320197,92.3306894,31626.0,False,India,Assam,Assam,Bactrocera,Bactrocera,,Bactrocera,,Unknown,Occurrence Only,2,0,http://www.inaturalist.org/observations/229489,https://inaturalist-open-data.s3.amazonaws.com/photos/288820/medium.jpg,genus_or_higher,False,False,True,False
663857,3fca9700-5ad3-4232-93d3-04e460a1f13b,2011-10-14,2011,10,research,,38.195269,13.335471,16.0,False,Italy,Sicily,Sicily,olive fruit fly,Bactrocera oleae,olive fruit fly,Bactrocera,Bactrocera oleae,Olea europaea,Interaction Study,2,0,http://www.inaturalist.org/observations/663857,https://static.inaturalist.org/photos/836423/medium.JPG,species,True,True,True,True
718148,997499b2-e0c4-4ce4-a15c-ff813133a315,2014-06-04,2014,6,research,CC-BY-NC-SA,1.348855,103.762573,,False,Singapore,West,West,Bactrocera dorsalis,Bactrocera dorsalis,Oriental Fruit Fly,Bactrocera,Bactrocera dorsalis,Unknown,Occurrence Only,2,0,http://www.inaturalist.org/observations/718148,https://inaturalist-open-data.s3.amazonaws.com/photos/902719/medium.JPG,species,False,True,True,True
783490,446949ef-1baa-4e13-98f9-f0b44039a3ee,2014-07-06,2014,7,research,CC-BY-NC-ND,22.430309,114.086419,61.0,False,Hong Kong,Yuen Long,Yuen Long,æ±æ–¹æžœå¯¦è …,Bactrocera dorsalis,Oriental Fruit Fly,Bactrocera,Bactrocera dorsalis,Unknown,Occurrence Only,1,0,http://www.inaturalist.org/observations/783490,https://inaturalist-open-data.s3.amazonaws.com/photos/984389/medium.jpg,species,False,True,True,True
791094,068abc8d-e1f1-447b-929d-35c63506c014,2014-07-12,2014,7,research,CC-BY-NC-ND,1.317138,103.815919,217.0,False,Singapore,Central,Central,Bactrocera dorsalis,Bactrocera dorsalis,Oriental Fruit Fly,Bactrocera,Bactrocera dorsalis,Unknown,Occurrence Only,2,0,http://www.inaturalist.org/observations/791094,https://inaturalist-open-data.s3.amazonaws.com/photos/995184/medium.JPG,species,False,True,True,True
1176530,05255a24-2f39-4edb-881f-6ee04edd61bf,2015-01-14,2015,1,research,CC-BY,23.499548,87.304627,,False,India,West Bengal,West Bengal,Zeugodacus tau,Zeugodacus tau,Tau Fly,Zeugodacus,Zeugodacus tau,Unknown,Occurrence Only,3,0,http://www.inaturalist.org/observations/1176530,https://inaturalist-open-data.s3.amazonaws.com/photos/1484725/medium.JPG,species,False,True,True,True
1280939,3a0ec65e-4094-4adb-afa6-138b8f080048,2015-03-08,2015,3,needs_id,CC-BY-NC-ND,22.434455,114.069338,30.0,False,Hong Kong,Yuen Long,Yuen Long,å—äºžå¯¡é¬ƒå¯¦è …,Zeugodacus tau,Tau Fly,Zeugodacus,Zeugodacus tau,Unknown,Occurrence Only,0,0,http://www.inaturalist.org/observations/1280939,https://inaturalist-open-data.s3.amazonaws.com/photos/1606643/medium.JPG,species,False,False,True,True
1311180,d4a618f1-4691-4c71-84e0-029669551bf2,2014-09-30,2014,9,needs_id,CC-BY,-17.81164,31.080963,,False,Zimbabwe,Harare,Harare,Dacus,Dacus,,Dacus,,Unknown,Occurrence Only,2,0,http://www.inaturalist.org/observations/1311180,https://inaturalist-open-data.s3.amazonaws.com/photos/1645586/medium.jpg,genus_or_higher,False,False,True,True
1335371,da5886cd-edb7-4d49-8869-c8b8b0002afb,2015-03-24,2015,3,research,CC-BY-NC-ND,22.326686,114.212499,65.0,False,Hong Kong,Kwun Tong,Kwun Tong,æ±æ–¹æžœå¯¦è …,Bactrocera dorsalis,Oriental Fruit Fly,Bactrocera,Bactrocera dorsalis,Unknown,Occurrence Only,2,0,http://www.inaturalist.org/observations/1335371,https://inaturalist-open-data.s3.amazonaws.com/photos/1652993/medium.jpg,species,False,True,True,True
1349703,8f3f8b3b-2d27-45d3-bbfd-4b1ed9bedf90,2015-02-07,2015,2,research,CC-BY-NC-SA,25.584477,55.574577,,False,United Arab Emirates,Umm Al Qaywayn,Umm Al Qaywayn,Dacus longistylus,Dacus longistylus,,Dacus,Dacus longistylus,Calotropis procera,Interaction Study,2,0,http://www.inaturalist.org/observations/1349703,https://inaturalist-open-data.s3.amazonaws.com/photos/1670030/medium.jpg,species,True,True,True,True
1518716,c6df5bb3-5832-45b4-8a25-fa2599ce4abd,2015-05-21,2015,5,needs_id,,1.306707,103.766317,19.0,False,Singapore,West,West,Bactrocera,Bactrocera,,Bactrocera,,Mangifera indica,Interaction Study,7,3,http://www.inaturalist.org/observations/1518716,https://static.inaturalist.org/photos/1881411/medium.jpg,genus_or_higher,True,False,True,True
1630753,190b0294-d8f7-442b-a447-04d0ad09f249,2011-07-24,2011,7,research,CC-BY-NC,37.293123,-7.546899,,False,Portugal,Faro,Faro,olive fruit fly,Bactrocera oleae,olive fruit fly,Bactrocera,Bactrocera oleae,Olea europaea,Interaction Study,3,0,http://www.inaturalist.org/observations/1630753,https://static.inaturalist.org/photos/2000214/medium.jpg,species,True,True,True,True
1673933,984b3fc7-28c2-48e6-9dcc-fff3659ca64c,2014-10-24,2014,10,needs_id,CC-BY-NC,30.10099,31.297021,65.0,False,Egypt,Al Qahirah,Al Qahirah,Tephritidae,Dacus,,Dacus,,Unknown,Occurrence Only,1,0,http://www.inaturalist.org/observations/1673933,https://inaturalist-open-data.s3.amazonaws.com/photos/2037212/medium.jpg,genus_or_higher,False,False,True,True
2391642,547e3567-786e-4109-a2c2-9444cb72ac2e,2013-01-23,2013,1,needs_id,CC-BY-NC-SA,17.103058,54.076466,,False,Oman,Dhofar,Dhofar,Leptoxyda,Leptoxyda,,Dacus,,Unknown,Occurrence Only,2,0,http://www.inaturalist.org/observations/2391642,https://inaturalist-open-data.s3.amazonaws.com/photos/2664066/medium.jpg,genus_or_higher,False,False,True,True
